Gender,Age,POLAR4 Quintile,POLAR3 Quintile,Adult HE 2001 Quintile,Adult HE 2011 Quintile,TUNDRA MSOA Quintile,TUNDRA LSOA Quintile,Gaps GCSE Quintile ,Gaps GCSE Ethnicity Quintile,Uni Connect target ward,attending from home?,distance to university (km),Count of Module Area Logins,Total Hours in Module Area,% of Average Hours in Module Area,# of presence,# of Absence,Percent Attended,"label (fail=1, pass=0)"
0.0,21.0,4.0,4.0,3.0,5.0,3.0,3.0,5.0,5.0,0.0,1.0,3.259523336,81.0,70.38,2.207851573,9.0,3.0,75.0,0.0
0.0,20.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,0.0,1.0,17.32749755,31.0,4.47,0.374470899,11.0,1.0,91.66666667,0.0
0.0,20.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,0.0,1.0,60.79114499,37.0,10.29,0.862037037,10.0,2.0,83.33333333,0.0
0.0,20.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,0.0,1.0,18.48897279,45.0,20.67,1.731613757,10.0,2.0,83.33333333,0.0
0.0,24.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0,4.0,0.0,1.0,14.20329549,38.0,13.26,1.015080762,9.0,0.0,100.0,0.0
0.0,22.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,0.0,0.0,0.0,66.0,21.44,0.672582235,12.0,0.0,100.0,0.0
0.0,20.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,0.0,1.0,83.67401388,41.0,6.6,0.552910053,10.0,2.0,83.33333333,0.0
1.0,20.0,5.0,5.0,4.0,4.0,3.0,3.0,5.0,5.0,0.0,0.0,20.03198531,23.0,16.3,1.365520282,5.0,7.0,41.66666667,0.0
0.0,20.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,0.0,1.0,3.259523336,29.0,14.32,0.585247286,9.0,2.0,75.0,1.0
1.0,20.0,5.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,0.0,0.0,153.1291962,30.0,25.93,2.172266314,11.0,1.0,91.66666667,0.0
0.0,21.0,5.0,3.0,3.0,5.0,4.0,4.0,4.0,5.0,0.0,1.0,33.89493679,34.0,8.61,0.721296296,9.0,3.0,75.0,0.0
0.0,23.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,0.0,1.0,12.74442906,23.0,7.01,0.536630177,6.0,3.0,66.67,0.0
0.0,20.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,56.55174503,55.0,22.32,1.86984127,8.0,4.0,66.66666667,0.0
0.0,22.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,0.0,1.0,15.15672055,32.0,22.65,0.710540468,8.0,4.0,66.66666667,0.0
0.0,21.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,0.0,1.0,26.17878687,42.0,18.15,1.520502646,10.0,0.0,83.33333333,0.0
0.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,79.88045752,18.0,12.51,0.957666692,8.0,1.0,88.89,0.0
0.0,22.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,0.0,1.0,101.4196272,48.0,10.82,0.90643739,12.0,0.0,100.0,0.0
0.0,25.0,5.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,0.0,0.0,17.32749755,3.0,0.16,0.01340388,0.0,12.0,0.0,1.0
0.0,22.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,29.0,18.57,1.42157238,6.0,3.0,66.67,0.0
0.0,21.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,5.0,0.0,0.0,0.0,75.0,34.37,1.078202026,12.0,0.0,100.0,0.0
0.0,21.0,5.0,3.0,3.0,5.0,4.0,4.0,4.0,5.0,0.0,1.0,33.89493679,55.0,18.46,0.754445872,10.0,2.0,83.33333333,1.0
1.0,20.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,0.0,0.0,25.78203164,49.0,15.29,1.280908289,12.0,0.0,100.0,0.0
0.0,21.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,0.0,1.0,23.58863612,38.0,8.37,0.342075404,6.0,6.0,50.0,1.0
0.0,21.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,5.0,0.0,0.0,0.0,48.0,22.43,0.703638971,8.0,4.0,66.66666667,0.0
0.0,23.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,0.0,9.528501411,61.0,19.96,1.672134039,13.0,0.0,100.0,0.0
0.0,21.0,4.0,4.0,3.0,5.0,3.0,3.0,5.0,5.0,0.0,1.0,3.259523336,59.0,37.34,3.128130511,8.0,4.0,66.66666667,0.0
0.0,21.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,0.0,1.0,10.11326162,35.0,18.84,1.578306878,10.0,2.0,83.33333333,0.0
1.0,21.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,0.0,1.0,56.93876554,35.0,15.59,1.306040564,8.0,4.0,66.66666667,0.0
0.0,24.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,0.0,1.0,10.96595163,25.0,16.38,1.253923295,8.0,1.0,88.89,0.0
0.0,20.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,4.0,0.0,1.0,23.58863612,73.0,8.1,0.254100565,12.0,0.0,100.0,0.0
1.0,44.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,0.0,1.0,12.74442906,70.0,13.51,1.131790123,12.0,0.0,100.0,0.0
1.0,21.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,51.0,28.1,0.881509366,6.0,6.0,50.0,0.0
1.0,37.0,5.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,0.0,0.0,69.0102332,74.0,20.43,1.711507937,12.0,0.0,100.0,0.0
0.0,20.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,0.0,1.0,15.71160919,65.0,25.18,0.789907681,10.0,2.0,83.33333333,0.0
0.0,22.0,5.0,5.0,4.0,4.0,3.0,3.0,5.0,5.0,0.0,1.0,0.0,50.0,12.85,1.076499118,12.0,0.0,100.0,0.0
0.0,22.0,3.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,0.0,1.0,10.23564577,32.0,5.68,0.475837743,11.0,1.0,91.66666667,0.0
0.0,21.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,0.0,1.0,260.3132079,46.0,13.07,1.094929453,12.0,0.0,100.0,0.0
0.0,25.0,5.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,0.0,0.0,17.32749755,14.0,6.28,0.256658726,4.0,8.0,33.33333333,1.0
0.0,22.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,76.0,30.56,0.958680649,12.0,0.0,100.0,0.0
0.0,22.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,15.71160919,44.0,13.7,1.147707231,6.0,6.0,50.0,0.0
0.0,19.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,3.0,0.0,1.0,33.90047247,76.0,24.99,2.093518519,12.0,0.0,100.0,0.0
0.0,19.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,18.69570791,34.0,9.27,0.776587302,8.0,4.0,66.66666667,0.0
0.0,20.0,5.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,0.0,0.0,13.82471854,42.0,13.07,1.094929453,11.0,1.0,91.66666667,0.0
0.0,22.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,15.71160919,53.0,18.36,0.57596128,8.0,4.0,66.66666667,0.0
0.0,22.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,335.0,175.44,5.503630008,12.0,0.0,100.0,0.0
0.0,22.0,4.0,2.0,1.0,3.0,4.0,4.0,4.0,5.0,0.0,1.0,15.84412643,1.0,0.03,0.002513228,0.0,12.0,0.0,1.0
0.0,20.0,5.0,5.0,4.0,4.0,3.0,3.0,5.0,5.0,0.0,0.0,43.19664358,83.0,41.26,3.456525573,12.0,0.0,100.0,0.0
0.0,23.0,3.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,0.0,0.0,0.0,76.0,29.67,0.930760957,12.0,0.0,100.0,0.0
0.0,21.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,0.0,1.0,17.70657284,25.0,6.14,0.514373898,5.0,7.0,41.66666667,1.0
0.0,20.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,82.0,35.94,1.127453617,4.0,8.0,33.33333333,0.0
0.0,20.0,4.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,43.36628919,74.0,6.79,0.56882716,10.0,1.0,83.33333333,0.0
0.0,22.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,0.0,1.0,25.20825881,72.0,19.56,1.497358953,9.0,0.0,100.0,0.0
0.0,20.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,0.0,1.0,12.74442906,46.0,16.87,1.413271605,9.0,3.0,75.0,0.0
0.0,20.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,0.0,1.0,3.259523336,39.0,14.12,1.182892416,9.0,2.0,75.0,0.0
0.0,22.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,0.0,0.0,0.0,30.0,9.29,0.71116895,3.0,6.0,33.33,0.0
0.0,21.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,0.0,0.0,49.76421155,24.0,10.29,0.862037037,4.0,8.0,33.33333333,0.0
